word,freq
precious,18562
rooms,18562
coast,18547
treated,18542
material,18538
released,18533
uniform,18533
hated,18529
considered,18518
rice,18503
exchange,18494
steps,18492
blake,18491
convince,18445
beast,18414
cow,18392
files,18385
signs,18381
drag,18380
cab,18379
hung,18378
carried,18366
ordinary,18352
successful,18352
eve,18346
mistakes,18340
houses,18338
chattering,18327
brains,18320
japan,18308
creature,18303
fourth,18301
separate,18291
cleaning,18286
california,18275
shift,18253
elizabeth,18247
chicago,18217
exact,18213
karen,18204
goal,18194
expert,18181
served,18169
direct,18122
score,18120
row,18117
marks,18117
twenty,18112
receive,18100
series,18098
section,18094
pilot,18070
jackson,18045
darkness,18029
thy,18023
sale,18014
destiny,18000
cure,17999
spoken,17993
armed,17960
rare,17927
helen,17910
grade,17882
juice,17879
wide,17850
tower,17842
solution,17830
schedule,17817
explosion,17799
wheel,17795
cigarette,17794
julie,17794
fruit,17773
blew,17768
victor,17768
talks,17763
sacrifice,17760
range,17758
button,17747
reports,17743
prisoner,17740
pie,17716
effort,17715
youth,17703
pot,17692
eaten,17689
taylor,17672
knees,17671
garage,17652
parking,17645
ambulance,17637
staring,17630
chances,17624
circumstances,17621
sin,17617
gordon,17605
progress,17605
unusual,17603
county,17598
stairs,17597
campaign,17583
vision,17563
reporter,17553
equipment,17536
moments,17531
joey,17518
mass,17516
alien,17513
trapped,17495
helps,17480
route,17472
defend,17469
trace,17465
nasty,17464
tests,17462
magazine,17461
rocks,17459
dump,17455
rude,17432
searching,17430
clue,17430
connected,17429
amen,17429
pushed,17408
merry,17407
zone,17386
senior,17374
closing,17372
freeze,17372
emperor,17360
